cutoff,assembly_score
0.01,0.24122
0.21091,0.24236
0.24134,0.24314
0.24552,0.24426
0.25765,0.24523
0.28167,0.24623
0.33297,0.24707
0.39144,0.24762
0.42005,0.24799
0.44368,0.24772
0.46328,0.24811
0.46593,0.24838
0.46822,0.24876
0.47529,0.24914
0.48915,0.24949
0.49465,0.24983
0.50405,0.25016
0.53032,0.25043
0.53077,0.25071
0.53124,0.25063
0.54896,0.25064
0.55847,0.25039
0.56096,0.25014
0.56289,0.25037
0.56623,0.25059
0.5682,0.2507
0.58215,0.25078
0.58541,0.25086
0.59047,0.25105
0.60291,0.2511
0.60334,0.25127
0.61489,0.25143
0.61774,0.25133
0.62133,0.25148
0.62268,0.25163
0.62469,0.25178
0.62669,0.25193
0.63499,0.25206
0.63513,0.25208
0.63653,0.25197
0.64109,0.25211
0.64409,0.25224
0.6445,0.25237
0.64529,0.25251
0.64547,0.25265
0.64633,0.25279
0.64783,0.25293
0.65121,0.25307
0.65141,0.25322
0.65318,0.25336
0.65353,0.25351
0.65581,0.25366
0.65821,0.25355
0.66059,0.2537
0.6607,0.25385
0.67321,0.25385
0.68484,0.25395
0.68677,0.25368
0.69179,0.25378
0.69231,0.25375
0.69236,0.25373
0.69644,0.25383
0.69778,0.2538
0.69896,0.25301
0.70507,0.25297
0.70916,0.25306
0.70977,0.25302
0.7122,0.25298
0.72775,0.25278
0.72983,0.25207
0.73195,0.25199
0.74354,0.2519
0.7462,0.25167
0.74725,0.2508
0.7588,0.25068
0.75961,0.25057
0.7659,0.25018
0.76597,0.24875
0.7698,0.24875
0.77333,0.2481
0.77745,0.24508
0.77989,0.24428
0.78136,0.244
0.78564,0.24346
0.78964,0.24343
0.79174,0.24314
0.79316,0.24284
0.79317,0.2365
0.79539,0.2362
0.79556,0.23564
0.79733,0.23561
0.79868,0.23557
0.80094,0.23514
0.80348,0.23444
0.80422,0.23387
0.80431,0.23344
0.80506,0.23287
0.80876,0.23244
0.80994,0.23186
0.81409,0.23142
0.81618,0.23044
0.81963,0.23012
0.82116,0.22993
0.8243,0.22947
0.82618,0.22928
0.82751,0.22829
0.82911,0.22796
0.83245,0.22762
0.83374,0.17872
0.83507,0.17794
0.83695,0.17783
0.83869,0.17274
0.84124,0.17208
0.84211,0.17062
0.84452,0.16875
0.84484,0.16862
0.8527,0.16795
0.85574,0.16768
0.86122,0.16713
0.8648,0.16685
0.87436,0.16656
0.87622,0.16612
0.87771,0.16501
0.8827,0.1647
0.88355,0.1644
0.8841,0.16042
0.88542,0.15875
0.88658,0.15803
0.8876,0.15704
0.89219,0.15604
0.89251,0.15558
0.89307,0.15499
0.89364,0.15372
0.90035,0.13659
0.9016,0.13612
0.90397,0.1113
0.90501,0.11081
0.90544,0.11018
0.91092,0.10996
0.91109,0.1096
0.91163,0.10253
0.9125,0.09695
0.9128,0.09508
0.91492,0.09485
0.91543,0.09448
0.91556,0.09357
0.91698,0.09114
0.91714,0.09022
0.9189,0.08944
0.92018,0.08452
0.92049,0.08388
0.92198,0.07496
0.92315,0.07458
0.92844,0.07185
0.93012,0.06484
0.93119,0.06418
0.93154,0.06379
0.93242,0.06202
0.93242,0.06121
0.93257,0.06083
0.93274,0.06044
0.93491,0.06004
0.93543,0.05965
0.93587,0.05912
0.93713,0.05638
0.93804,0.05598
0.93894,0.05545
0.93954,0.05159
0.94019,0.04578
0.94114,0.04525
0.9413,0.04304
0.94163,0.04264
0.94195,0.04225
0.94231,0.04032
0.94494,0.03853
0.94528,0.03715
0.94549,0.03633
0.94557,0.03495
0.94814,0.03441
0.94845,0.03387
0.94975,0.03332
0.95001,0.03264
0.95045,0.03167
0.95068,0.03085
0.95231,0.03044
0.95264,0.02976
0.9529,0.02907
0.95356,0.0281
0.95468,0.02756
0.95699,0.02715
0.95756,0.02674
0.95765,0.02577
0.95895,0.02536
0.9619,0.02495
0.96232,0.02453
0.96241,0.02398
0.96463,0.02357
0.96477,0.02301
0.965,0.0226
0.96597,0.02205
0.96626,0.02163
0.96677,0.0208
0.96716,0.02024
0.96739,0.01912
0.96889,0.01843
0.96908,0.01773
0.97041,0.01689
0.97055,0.01549
0.97066,0.01507
0.97245,0.01479
0.97249,0.0141
0.97316,0.01354
0.97328,0.01312
0.97433,0.0127
0.97484,0.01186
0.97603,0.01144
0.97665,0.01045
0.97886,0.01003
0.97909,0.00933
0.97929,0.00834
0.97944,0.00778
0.97959,0.00722
0.97968,0.00694
0.98032,0.00651
0.98036,0.00553
0.98133,0.00524
0.98185,0.00482
0.98198,0.00383
0.98333,0.00341
0.98508,0.00256
0.98685,0.00228
0.98699,0.00199
0.98806,0.00071
0.99085,0.00029
0.99405,0.0
